n_digit,sample_prop,trial,estimate
2,0.2,46,313
2,0.2,47,560
2,0.2,48,308
2,0.2,49,570
2,0.2,50,308
2,0.2,51,606
2,0.2,52,425
2,0.2,53,313
2,0.2,54,560
2,0.2,55,606
2,0.2,56,286
2,0.2,57,306
2,0.2,58,606
2,0.2,59,425
2,0.2,60,606
2,0.2,61,306
2,0.2,62,425
2,0.2,63,606
2,0.2,64,570
2,0.2,65,286
2,0.2,66,405
2,0.2,67,405
2,0.2,68,560
2,0.2,69,286
2,0.2,70,286
2,0.2,71,308
2,0.2,72,306
2,0.2,73,606
2,0.2,74,425
2,0.2,75,606
2,0.2,76,425
2,0.2,77,425
2,0.2,78,405
2,0.2,79,560
2,0.2,80,300
2,0.2,81,313
2,0.2,82,308
2,0.2,83,570
2,0.2,84,300
2,0.2,85,300
2,0.2,86,606
2,0.2,87,250
2,0.2,88,293
2,0.2,89,293
2,0.2,90,560
2,0.2,91,606
2,0.2,92,570
2,0.2,93,293
2,0.2,94,405
2,0.2,95,306
2,0.2,96,560
2,0.2,97,425
2,0.2,98,606
2,0.2,99,606
2,0.2,100,313
2,0.16666666666666666,1,220
2,0.16666666666666666,2,293
2,0.16666666666666666,3,248
2,0.16666666666666666,4,308
2,0.16666666666666666,5,570
2,0.16666666666666666,6,300
2,0.16666666666666666,7,606
2,0.16666666666666666,8,560
2,0.16666666666666666,9,313
2,0.16666666666666666,10,570
2,0.16666666666666666,11,606
2,0.16666666666666666,12,606
2,0.16666666666666666,13,570
2,0.16666666666666666,14,308
2,0.16666666666666666,15,181
2,0.16666666666666666,16,570
2,0.16666666666666666,17,606
2,0.16666666666666666,18,606
2,0.16666666666666666,19,606
2,0.16666666666666666,20,570
2,0.16666666666666666,21,313
2,0.16666666666666666,22,192
2,0.16666666666666666,23,313
2,0.16666666666666666,24,560
2,0.16666666666666666,25,300
2,0.16666666666666666,26,313
2,0.16666666666666666,27,308
2,0.16666666666666666,28,286
2,0.16666666666666666,29,425
2,0.16666666666666666,30,293
2,0.16666666666666666,31,606
2,0.16666666666666666,32,560
2,0.16666666666666666,33,405
2,0.16666666666666666,34,308
2,0.16666666666666666,35,220
2,0.16666666666666666,36,293
2,0.16666666666666666,37,560
2,0.16666666666666666,38,405
2,0.16666666666666666,39,560
